"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
957,"Metroid Prime 3: Corruption","Wii","2007","Shooter","Nintendo",0.91,0.74,0.07,0.09,1.82
958,"Dragon Quest VI: Realms of Revelation","DS","2010","Role-Playing","Nintendo",0.22,0.21,1.35,0.03,1.81
977,"Professor Layton and the Mask of Miracle","3DS","2011","Puzzle","Nintendo",0.32,0.95,0.36,0.14,1.78
980,"The Legend of Zelda: The Wind Waker","WiiU","2013","Action","Nintendo",0.93,0.57,0.14,0.13,1.77
983,"Wii Party U","WiiU","2013","Misc","Nintendo",0.31,0.54,0.84,0.08,1.77
986,"Kirby 64: The Crystal Shards","N64","2000","Platform","Nintendo",0.63,0.06,1.03,0.04,1.77
989,"Metroid II: Return of Samus","GB","1991","Adventure","Nintendo",0.85,0.31,0.56,0.04,1.76
992,"Golden Sun","GBA","2001","Role-Playing","Nintendo",0.93,0.38,0.4,0.06,1.76
994,"Kid Icarus","NES","1986","Platform","Nintendo",0.53,0.12,1.09,0.02,1.76
1010,"Yoshi","NES","1991","Puzzle","Nintendo",0.7,0.13,0.91,0.01,1.75
1012,"Kirby's Adventure","NES","1993","Platform","Nintendo",0.79,0.14,0.8,0.02,1.75
1022,"Cruis'n USA","N64","1996","Racing","Nintendo",1.69,0.04,0,0.01,1.74
1048,"Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS","DS","2006","Misc","Nintendo",0,0,1.71,0,1.71
1054,"Personal Trainer: Math","DS","2007","Puzzle","Nintendo",0.49,1.12,0,0.09,1.7
1055,"Kirby's Return to Dreamland","Wii","2011","Platform","Nintendo",0.62,0.21,0.79,0.08,1.7
1078,"Yoshi's Cookie","GB","1992","Puzzle","Nintendo",0.59,0.24,0.82,0.03,1.68
1083,"Metroid Fusion","GBA","2002","Action","Nintendo",1.18,0.27,0.17,0.06,1.68
1109,"Mario Party 6","GC","2004","Misc","Nintendo",0.9,0.11,0.6,0.05,1.65
1110,"Super Scope 6","SNES","1991","Shooter","Nintendo",1.06,0.38,0.15,0.05,1.65
1115,"Kirby & the Amazing Mirror","GBA","2004","Platform","Nintendo",0.8,0.05,0.76,0.03,1.64
1127,"Pikmin","GC","2001","Strategy","Nintendo",0.78,0.25,0.56,0.04,1.63
1138,"Mario Hoops 3 on 3","DS","2006","Sports","Nintendo",0.99,0.04,0.49,0.1,1.62
1139,"Kirby Air Ride","GC","2003","Racing","Nintendo",1.01,0.11,0.45,0.04,1.62
1141,"Pokemon Battle Revolution","Wii","2006","Role-Playing","Nintendo",0.8,0.38,0.3,0.13,1.61
1144,"Baseball","GB","1989","Sports","Nintendo",0.66,0.27,0.65,0.03,1.61
1146,"Super Mario Strikers","GC","2005","Sports","Nintendo",0.98,0.38,0.2,0.04,1.61
1162,"The Legend of Zelda: Twilight Princess","GC","2006","Action","Nintendo",1.15,0.36,0.04,0.04,1.59
1180,"Pokemon Mystery Dungeon: Explorers of Sky","DS","2009","Role-Playing","Nintendo",0.58,0.44,0.44,0.12,1.58
1185,"Mario Party 7","GC","2005","Misc","Nintendo",0.95,0.11,0.46,0.04,1.57
1189,"Donkey Kong Classics","NES","1988","Platform","Nintendo",0.59,0.14,0.81,0.02,1.56
1194,"Pokemon Pinball: Ruby & Sapphire","GBA","2003","Misc","Nintendo",0.68,0.38,0.44,0.05,1.56
1209,"Mario Party 10","WiiU","2015","Misc","Nintendo",0.69,0.5,0.24,0.11,1.55
1212,"Fire Emblem Fates","3DS","2015","Role-Playing","Nintendo",0.71,0.22,0.52,0.1,1.54
1227,"Mario Golf: Toadstool Tour","GC","2003","Sports","Nintendo",1.09,0.15,0.25,0.04,1.53
1229,"Donkey Kong Country: Tropical Freeze","WiiU","2014","Platform","Nintendo",0.73,0.52,0.15,0.12,1.52
1235,"F1 Race","NES","1984","Racing","Nintendo",0,0,1.52,0,1.52
1262,"Ice Climber","NES","1985","Platform","Nintendo",0.46,0.1,0.92,0.02,1.5
1269,"Final Fantasy: Crystal Chronicles","GC","2003","Role-Playing","Nintendo",0.72,0.38,0.36,0.04,1.49
1273,"Banjo-Tooie","N64","2000","Platform","Nintendo",0.82,0.36,0.25,0.06,1.49
1277,"New Play Control! Mario Power Tennis","Wii","2009","Sports","Nintendo",0.37,0.69,0.28,0.14,1.48
1280,"Nintendo World Cup","NES","1990","Sports","Nintendo",0.28,0.5,0.65,0.05,1.48
1282,"Wario Land II","GB","1997","Platform","Nintendo",0.7,0.35,0.39,0.04,1.48
1290,"Mario Golf","N64","1999","Action","Nintendo",0.62,0.18,0.65,0.02,1.47
1310,"Mario Superstar Baseball","GC","2005","Sports","Nintendo",0.93,0.24,0.25,0.04,1.46
1316,"LEGO City Undercover","3DS","2013","Platform","Nintendo",0.51,0.75,0.07,0.12,1.46
